respuesta_id,fecha,canal,region,segmento_cliente,nps_score,satisfaccion,tiempo_resolucion_dias,comentario
1,2024-01-04,Call Center,Centro,VIP,4,3,4.9,El proceso fue confuso y lento.
2,2024-01-03,Sucursal,Sur,VIP,9,5,4.6,"Muy buena atención, resolvieron rápido."
3,2024-01-02,Call Center,Norte,Recurrente,3,2,5.2,"Mala comunicación, muy frustrante."
4,2024-01-03,App,Oeste,Nuevo,8,4,1.7,"El servicio estuvo bien, sin más."
5,2023-12-31,Call Center,Sur,Nuevo,5,3,5.1,No resolvieron mi problema.
6,2024-01-03,Web,Norte,Recurrente,7,4,2.5,"El servicio estuvo bien, sin más."
7,2024-01-05,Sucursal,Sur,Recurrente,7,4,3.3,Podría mejorar los tiempos de espera.
8,2024-01-02,Sucursal,Sur,Recurrente,7,3,21,Cumplió lo básico.
9,2024-01-01,App,Centro,Nuevo,6,3,3,Tuve que esperar demasiado tiempo.
10,2023-12-30,App,Oeste,Nuevo,6,3,2.9,"Pésima atención, no lo recomiendo."
11,2023-12-31,Web,Sur,Recurrente,7,3,1.6,Podría mejorar los tiempos de espera.
12,2024-01-03,Sucursal,Centro,VIP,8,4,4.3,Cumplió lo básico.
13,2024-01-04,Call Center,Este,VIP,3,3,5.4,No resolvieron mi problema.
14,2024-01-05,Sucursal,Oeste,Recurrente,7,4,1.4,Ni bueno ni malo.
15,2024-01-01,Sucursal,Oeste,Nuevo,6,3,1.8,"Pésima atención, no lo recomiendo."
16,2024-01-01,App,Oeste,VIP,8,4,2.2,Ni bueno ni malo.
17,2024-01-05,App,Centro,Nuevo,7,4,3.5,Cumplió lo básico.
18,2024-01-02,App,Este,Nuevo,7,4,2.6,Podría mejorar los tiempos de espera.
19,2024-01-07,Call Center,Centro,Nuevo,4,2,6.2,"Mala comunicación, muy frustrante."
20,2024-01-02,Web,Norte,Recurrente,6,3,2.8,"Pésima atención, no lo recomiendo."
21,2024-01-03,App,Oeste,Nuevo,7,4,1.7,Podría mejorar los tiempos de espera.
22,2024-01-03,Sucursal,Oeste,VIP,6,4,2.5,El proceso fue confuso y lento.
23,2024-01-04,Sucursal,Este,Nuevo,7,4,2.3,Podría mejorar los tiempos de espera.
