fecha,producto,categoria,unidades,precio_unitario,total,cliente_id,cliente_nuevo
2026-04-01,Mouse Inalambrico,Accesorios,2,58.34,116.68,Cliente-0105,True
2026-04-01,Laptop Ultra X1,Tecnologia,2,3201.71,6403.42,Cliente-0028,True
2026-04-01,Smartphone Galaxy Z,Tecnologia,3,2906.04,8718.12,Cliente-0315,True
2026-04-01,Auriculares Pro,Accesorios,1,86.16,86.16,Cliente-0219,True
2026-04-01,Teclado Mecanico RGB,Accesorios,2,118.37,236.74,Cliente-0072,False
2026-04-02,Mouse Inalambrico,Accesorios,3,62.91,188.73,Cliente-0239,True
2026-04-02,Teclado Mecanico RGB,Accesorios,1,122.98,122.98,Cliente-0059,True
2026-04-02,Teclado Mecanico RGB,Accesorios,2,114.68,229.36,Cliente-0521,True
2026-04-03,Teclado Mecanico RGB,Accesorios,3,120.93,362.79,Cliente-0072,True
2026-04-03,Disco SSD 1TB,Accesorios,1,151.43,151.43,Cliente-0241,True
2026-04-04,Auriculares Pro,Accesorios,3,90.93,272.79,Cliente-0045,True
2026-04-04,Monitor 27 4K,Tecnologia,1,885.43,885.43,Cliente-0568,True
2026-04-04,Laptop Ultra X1,Tecnologia,1,3350.08,3350.08,Cliente-0243,True
2026-04-04,Auriculares Pro,Accesorios,2,87.79,175.58,Cliente-0447,True
2026-04-05,Mouse Inalambrico,Accesorios,1,62.36,62.36,Cliente-0110,True
2026-04-06,Auriculares Pro,Accesorios,2,91.53,183.06,Cliente-0074,True
2026-04-06,Auriculares Pro,Accesorios,3,94.25,282.75,Cliente-0183,True
2026-04-06,Auriculares Pro,Accesorios,4,87.42,349.68,Cliente-0411,True
2026-04-06,Teclado Mecanico RGB,Accesorios,3,114.46,343.38,Cliente-0445,True
2026-04-07,Camara Web HD,Accesorios,3,67.99,203.97,Cliente-0512,True
2026-04-07,Mouse Inalambrico,Accesorios,4,59.97,239.88,Cliente-0250,True
2026-04-08,Disco SSD 1TB,Accesorios,3,148.52,445.56,Cliente-0068,True
2026-04-08,Mouse Inalambrico,Accesorios,3,61.48,184.44,Cliente-0439,True
2026-04-08,Laptop Ultra X1,Tecnologia,1,3067.41,3067.41,Cliente-0498,True
2026-04-08,Teclado Mecanico RGB,Accesorios,1,114.85,114.85,Cliente-0061,True
2026-04-08,Laptop Ultra X1,Tecnologia,1,3315.08,3315.08,Cliente-0073,True
2026-04-08,Silla Ergonomica,Oficina,1,547.55,547.55,Cliente-0590,True
2026-04-09,Smartphone Galaxy Z,Tecnologia,3,2688.62,8065.86,Cliente-0390,True
2026-04-09,Silla Ergonomica,Oficina,2,560.15,1120.3,Cliente-0058,True
2026-04-09,Camara Web HD,Accesorios,4,68.5,274.0,Cliente-0570,True
2026-04-09,Smartphone Galaxy Z,Tecnologia,1,2867.88,2867.88,Cliente-0160,True
2026-04-09,Tablet 10 pulgadas,Tecnologia,2,715.23,1430.46,Cliente-0209,True
2026-04-10,Camara Web HD,Accesorios,1,73.07,73.07,Cliente-0138,True
2026-04-11,Camara Web HD,Accesorios,1,72.64,72.64,Cliente-0268,True
2026-04-12,Auriculares Pro,Accesorios,4,93.27,373.08,Cliente-0056,True
2026-04-12,Tablet 10 pulgadas,Tecnologia,4,723.36,2893.44,Cliente-0310,True
2026-04-12,Router WiFi 6,Tecnologia,2,243.07,486.14,Cliente-0198,True
2026-04-12,Mouse Inalambrico,Accesorios,4,61.08,244.32,Cliente-0550,False
2026-04-12,Mouse Inalambrico,Accesorios,3,59.62,178.86,Cliente-0524,True
2026-04-13,Camara Web HD,Accesorios,4,67.5,270.0,Cliente-0143,True
2026-04-13,Teclado Mecanico RGB,Accesorios,4,120.35,481.4,Cliente-0567,True
2026-04-13,Smartphone Galaxy Z,Tecnologia,2,2822.1,5644.2,Cliente-0041,True
2026-04-13,Disco SSD 1TB,Accesorios,4,145.84,583.36,Cliente-0472,True
2026-04-13,Router WiFi 6,Tecnologia,1,261.67,261.67,Cliente-0286,True
2026-04-13,Mouse Inalambrico,Accesorios,2,58.15,116.3,Cliente-0389,False
2026-04-13,Teclado Mecanico RGB,Accesorios,1,117.65,117.65,Cliente-0216,True
2026-04-14,Smartphone Galaxy Z,Tecnologia,3,2762.1,8286.3,Cliente-0041,False
2026-04-14,Disco SSD 1TB,Accesorios,3,149.47,448.41,Cliente-0453,True
2026-04-15,Smartphone Galaxy Z,Tecnologia,2,2737.99,5475.98,Cliente-0256,True
2026-04-15,Laptop Ultra X1,Tecnologia,2,3333.59,6667.18,Cliente-0125,True
