fecha,categoria,region,canal,unidades,ingresos,costo,margen
2023-01-03,Moda,Centro,Marketplace,9,461.22,316.16,145.06
2023-01-03,Electrónica,Este,Marketplace,34,9804.79,6999.96,2804.83
2023-01-03,Deportes,Oeste,Tienda física,44,3751.01,2778.11,972.9
2023-01-04,Electrónica,Centro,E-commerce,41,14596.78,9255.43,5341.35
2023-01-04,Electrónica,Oeste,Tienda física,13,4118.94,2846.12,1272.82
2023-01-05,Electrónica,Norte,Marketplace,26,9210.47,6792.11,2418.36
2023-01-06,Juguetes,Centro,Marketplace,24,952.96,534.35,418.61
2023-01-06,Juguetes,Norte,Tienda física,41,1530.38,994.75,535.63
2023-01-06,Electrónica,Oeste,Distribuidor,9,3031.83,1791.32,1240.51
2023-01-06,Electrónica,Este,Distribuidor,37,12172.5,7581.87,4590.63
2023-01-06,Electrónica,Norte,E-commerce,33,11623.97,7436.23,4187.74
2023-01-07,Juguetes,Norte,E-commerce,20,767.27,562.86,204.41
2023-01-08,Moda,Centro,Distribuidor,20,1262.83,704.77,558.06
2023-01-08,Electrónica,Sur,Tienda física,35,10661.43,7723.18,2938.25
2023-01-08,Electrónica,Este,Tienda física,39,13981.13,10158.24,3822.89
2023-01-09,Juguetes,Oeste,Distribuidor,29,915.67,643.25,272.42
2023-01-09,Juguetes,Norte,Distribuidor,10,298.27,173.04,125.23
2023-01-09,Deportes,Norte,Tienda física,23,1496.17,830.39,665.78
2023-01-09,Electrónica,Centro,Distribuidor,40,12990.27,8638.31,4351.96
2023-01-10,Deportes,Sur,Marketplace,20,1387.13,986.58,400.55
2023-01-11,Deportes,Norte,Marketplace,39,2954.34,2015.85,938.49
2023-01-12,Electrónica,Sur,E-commerce,23,8259,5624.8,2634.2
2023-01-12,Moda,Centro,E-commerce,12,663.11,495.41,167.7
2023-01-12,Alimentos,Sur,E-commerce,15,248.19,168.37,79.82
2023-01-12,Alimentos,Oeste,Tienda física,14,277.36,166.92,110.44
2023-01-12,Electrónica,Sur,Distribuidor,41,14073.12,10549.86,3523.26
2023-01-13,Electrónica,Oeste,Tienda física,15,4469.93,3132.27,1337.66
2023-01-13,Electrónica,Sur,Distribuidor,20,7248.62,4919.32,2329.3
2023-01-13,Alimentos,Norte,Marketplace,42,863.63,588.89,274.74
2023-01-14,Juguetes,Este,Marketplace,37,1377.68,769.99,607.69
2023-01-14,Alimentos,Norte,Tienda física,10,175.46,109.43,66.03
2023-01-14,Electrónica,Norte,E-commerce,10,3669.63,2530.35,1139.28
2023-01-15,Electrónica,Centro,Tienda física,16,4660.25,3300.02,1360.23
2023-01-15,Moda,Norte,Marketplace,28,1644.6,1033.67,610.93
2023-01-15,Juguetes,Sur,E-commerce,36,1261.15,718.64,542.51
2023-01-16,Juguetes,Este,Tienda física,13,440.26,292.48,147.78
2023-01-16,Hogar,Este,Marketplace,18,1855.75,1206.87,648.88
2023-01-17,Deportes,Centro,Tienda física,33,2265.12,1557.34,707.78
2023-01-17,Hogar,Centro,Distribuidor,16,1646.91,1053.02,593.89
2023-01-17,Electrónica,Sur,Distribuidor,30,9756.88,6042.04,3714.84
2023-01-17,Moda,Norte,E-commerce,27,1776.39,1187.89,588.5
2023-01-17,Electrónica,Este,Tienda física,27,7740.76,5664.11,2076.65
2023-01-18,Juguetes,Norte,E-commerce,12,444.65,280.38,164.27
2023-01-18,Electrónica,Oeste,Distribuidor,21,6371.63,4128.7,2242.93
2023-01-18,Electrónica,Norte,Marketplace,14,5111.12,3107.52,2003.6
2023-01-18,Hogar,Centro,E-commerce,45,4553.48,3375.7,1177.78
2023-01-19,Electrónica,Norte,Tienda física,10,3458.15,2448.65,1009.5
2023-01-20,Electrónica,Centro,E-commerce,14,4309.64,3007.61,1302.03
2023-01-20,Moda,Sur,E-commerce,24,1309.81,933.17,376.64
2023-01-20,Electrónica,Oeste,Tienda física,23,7426.09,4273.44,3152.65
2023-01-21,Hogar,Norte,Distribuidor,38,3819.99,2664.63,1155.36
2023-01-21,Electrónica,Norte,Distribuidor,41,12299.46,8553.37,3746.09
2023-01-21,Moda,Centro,E-commerce,40,2391.9,1320.94,1070.96
2023-01-22,Juguetes,Centro,E-commerce,31,1213.7,757.37,456.33
2023-01-23,Electrónica,Norte,Distribuidor,20,6107.35,3401.14,2706.21
2023-01-23,Moda,Centro,Marketplace,21,1409.24,1042.19,367.05
2023-01-24,Electrónica,Oeste,E-commerce,14,4678.82,3138.41,1540.41
2023-01-24,Alimentos,Sur,Tienda física,13,215.16,156.86,58.3
2023-01-25,Alimentos,Centro,E-commerce,42,772.86,453.84,319.02
2023-01-25,Electrónica,Centro,Tienda física,16,4371.6,3196.45,1175.15
